gene_short_name	locus	expression
ABCA1	9:107543282-107690518	2.63562526088208
ABCA2	9:139901685-139923367	7.96940298983827
ABCA3	16:2325881-2390747	5.76967734843493
ABCA4	1:94458392-94586688	9.48112367885187
ABCA5	17:67240451-67323385	2.8351373039186
ABCA6	17:67074842-67138029	6.51438922155648
ABCA7	19:1040101-1065571	6.32582736434415
ABCA8	17:66863432-66951533	5.66688055405393
ABCA9	17:66970628-67057205	7.36815710086375
ABCA9-AS1	17:67000854-67014464	2.63366830535233
ABCB10	1:229652328-229694442	9.19011051068082
ABCB10P1	15:22691015-22693200	0.0175261287949979
ABCB10P3	15:28648013-28650179	1.24993435572833
ABCB10P4	15:28751770-28753954	0
ABCB10P4	HSCHR15_1_CTG4:28763389-28765572	0
ABCB11	2:169779447-169887832	1.8483146163635
ABCB11	HSCHR2_1_CTG12:169796436-169904821	0
ABCB1	7:87133174-87342611	6.10338189639151
ABCB4	7:87031012-87109751	7.69663791172206
ABCB5	7:20654829-20816658	1.54619888402522
ABCB6	2:220074489-220083712	0.973762730136514
ABCB7	X:74273114-74376567	1.96889756945893
ABCB8	7:150725509-150744869	5.21774274297059
ABCB9	12:123405497-123466196	0.426725305151194
ABCC10	6:43395103-43418168	1.66993202641606
ABCC11	16:48200820-48281479	7.150650145486
ABCC1	16:16043433-16236931	6.14858704153448
ABCC12	16:48116883-48189929	0
ABCC13	21:15608526-15735075	3.23880522977561
ABCC2	10:101542488-101611949	7.23669202532619
ABCC3	17:48712137-48769613	0.668932558037341
ABCC4	13:95672082-95953687	8.95681967958808
ABCC5	3:183637721-183735803	5.72407520608976
ABCC5-AS1	3:183724125-183729207	0
ABCC6	16:16242784-16317379	4.21269221697003
ABCC6P1	16:18582483-18609650	3.96009521791711
ABCC6P2	16:14914648-14918563	0.292051886208355
ABCC8	11:17414431-17498449	0
ABCC9	12:21950334-22094336	4.82268585357815
ABCD1	HG1497_PATCH:152893339-152913233	0
ABCD1P2	10:38894548-38898740	0
ABCD1P3	16:32486371-32489571	0
ABCD1P4	22:16868419-16871613	6.25614274991676
ABCD1P4	HG1488_PATCH:16904969-16908163	0
ABCD1P5	2:92028626-92031828	3.54425680357963
ABCD1	X:152990322-153010216	0.226274156011641
ABCD2	12:39943834-40013553	7.62895740102977
ABCD3	1:94883932-94984222	1.69019776163623
ABCD4	14:74752125-74769759	5.15596514567733
ABCE1	4:146019083-146050331	0.0268273800611496
ABCF1	6:30539152-30564956	2.59620792930946
ABCF1	HSCHR6_MHC_COX:30528999-30554805	0
ABCF1	HSCHR6_MHC_DBB:30529390-30555197	0
ABCF1	HSCHR6_MHC_MANN:30583827-30609632	0
ABCF1	HSCHR6_MHC_MCF:30617609-30643414	0
ABCF1	HSCHR6_MHC_QBL:30528661-30554466	0
ABCF1	HSCHR6_MHC_SSTO:30530572-30556377	0
ABCF2	7:150904922-150924316	3.49491380155087
ABCF2P1	3:88366305-88368172	6.81765947956592
ABCF2P2	7:71568165-71569194	0
ABCF3	3:183903810-183911800	5.15144848963246
ABCG1	21:43619798-43717354	5.27096944628283
ABCG2	4:89011415-89152474	5.42165253777057
ABCG4	11:119019721-119033360	6.41233291011304
ABCG5	2:44039610-44066004	7.13666509604082
ABCG8	2:44066102-44105605	0
ABHD10	3:111697856-111712210	9.13345347158611
ABHD11	7:73150423-73153197	3.516132440418
ABHD11	HG1257_PATCH:73201050-73203824	0
ABHD12	20:25275378-25371619	6.22369467047974
ABHD1	2:27346681-27353680	2.11386474082246
ABHD12B	14:51338877-51371688	3.35801692213863
ABHD13	13:108870726-108886603	0.202115515712649
ABHD14A	3:52005441-52015212	3.46790950512514
ABHD14A-ACY1	3:52009065-52023190	3.82018360542133
ABHD14B	3:52002525-52017425	6.74404649296775
ABHD15	17:27887564-27894155	5.43861501151696
ABHD16A	6:31654725-31671221	2.83319069305435
ABHD16A	HSCHR6_MHC_COX:31642140-31658607	0
ABHD16A	HSCHR6_MHC_DBB:31636900-31653368	0
ABHD16A	HSCHR6_MHC_MANN:31694218-31710687	0
ABHD16A	HSCHR6_MHC_MCF:31731008-31747477	0
ABHD16A	HSCHR6_MHC_QBL:31644971-31661447	0
ABHD16A	HSCHR6_MHC_SSTO:31644673-31661153	0
ABHD16B	20:62492565-62494341	8.0807445384562
ABHD17A	19:1876808-1885546	3.56452519074082
ABHD17AP1	1:147618672-147621845	0.409755948930979
ABHD17AP1	HG1287_PATCH:148832808-148835981	0
ABHD17AP2	1:146076837-146080009	6.41638444969431
ABHD17AP3	1:214778812-214782183	5.64274470321834
ABHD17AP4	22:21022123-21025272	3.87205889681354
ABHD17AP5	22:22469235-22472374	9.04296545311809
ABHD17AP6	17:20717932-20747570	2.7421245817095
ABHD17B	9:74477367-74525847	8.82027519401163
ABHD17C	15:80972024-81047962	0.438656432088464
ABHD2	15:89630689-89745591	1.60290939966217
ABHD3	18:19230857-19284766	1.37757629621774
ABHD4	14:23067145-23081265	8.9480819250457
ABHD5	3:43731604-43775863	7.77569707483053
ABHD6	3:58223232-58281420	1.06030065566301
ABHD8	19:17402939-17421045	9.7967392555438
ABI1	10:27035521-27150016	9.52173675177619
ABI2	2:204192941-204312446	4.22418570844457
ABI3	17:47287588-47300587	7.84535643644631
ABI3BP	3:100467999-100712359	2.4362611817196
ABL1	9:133589332-133763062	9.89919021259993
ABL2	1:179068461-179198819	9.83630505856127
ABLIM1	10:116190871-116444762	9.23988459864631
ABLIM2	4:7967038-8160559	0.671490575186908
ABLIM3	5:148521045-148640105	3.95010016392916
ABO	9:136125787-136150617	8.31299748737365
ABO	HG79_PATCH:136125798-136150736	0
ABR	17:906757-1132315	7.01559646753594
ABRA	8:107771710-107782473	0.208051782101393
ABRACL	6:139349818-139364439	5.5553361447528
ABT1	6:26597179-26600278	3.77941937185824
ABT1	HG27_PATCH:26597179-26600278	0
ABT1P1	4:99943461-99944282	5.79640647862107
ABTB1	3:127391777-127399768	8.22267237817869
ABTB2	11:34172534-34379555	1.66269301902503
AC000003.1	17:9974206-9974321	0
AC000003.2	17:10048830-10050277	9.75827625952661
AC000029.1	22:23478806-23478897	0
AC000032.2	1:110235738-110236364	7.00138845480978
AC000036.4	22:51174252-51176567	0
AC000041.8	22:29815143-29819182	2.06132763531059
AC000067.1	22:19654545-19655078	0
AC000068.10	22:19444025-19444485	0.346302695106715
AC000068.5	22:19435415-19437628	2.78540729545057
AC000068.9	22:19441701-19442128	8.42273749876767
AC000077.2	22:19618272-19621097	0
AC000078.5	22:19874811-19875493	0.525867987889796
AC000081.2	22:19225965-19226262	0
AC000081.2	HG329_PATCH:19225955-19226252	0
AC000089.3	22:19779816-19780617	4.23275397857651
AC000095.9	22:19005555-19006429	0
AC000099.1	7:126855180-126869975	0
AC000110.1	7:126935673-126936257	9.55891764024273
AC000111.3	7:117200786-117204730	0
AC000111.4	7:117127790-117127983	0
AC000111.5	7:117226260-117226470	0
AC000111.6	7:117244844-117287469	0
AC000120.7	7:91829327-91836171	7.14073438430205
AC000123.4	7:126990181-126991577	1.70171992620453
AC000124.1	7:127116936-127125858	0
AC000362.1	7:126621020-126621832	0
AC000367.1	7:126508820-126510586	0
AC000370.2	7:126019023-126064239	0
AC000374.1	7:126151188-126152933	0
AC000403.1	13:77460455-77460535	0
AC002044.4	16:73048217-73048375	9.37460307963192
AC002056.3	22:51193095-51193862	3.74373992905021
AC002056.5	22:51179020-51181948	0
AC002059.10	22:29712732-29713209	4.32237255852669
AC002064.4	7:89895347-89899530	0
AC002064.5	7:89941809-89951906	0
AC002066.1	7:115878313-116139519	0.24594489717856
AC002066.1	7:116056170-116105330	0
AC002066.2	7:115985908-115985998	0
AC002069.5	7:88194107-88195596	3.56287910370156
AC002069.6	7:88141343-88142502	0
AC002070.1	12:120018596-120018700	0
AC002075.3	7:93407150-93407826	0.69937577471137
AC002075.4	7:93299137-93299389	5.21955782314762
AC002076.10	7:93520224-93522913	0.849631088785827
AC002115.5	19:36088808-36092403	0
AC002115.9	19:36099186-36103568	0
AC002116.7	19:36505409-36536874	0
AC002116.8	19:36499539-36505137	5.92279188334942
AC002117.1	17:43227766-43238877	3.36994541576132
AC002127.2	7:88378783-88379008	0
AC002127.4	7:88339944-88386039	0
AC002128.5	19:35742342-35744542	5.16327512683347
AC002306.1	19:19717158-19719469	4.28504210663959
AC002310.10	16:30548522-30549552	6.88092843396589
AC002310.12	16:30546072-30548465	1.00530252093449
AC002310.13	16:30545547-30569600	0.291931577958167
AC002310.17	16:30598982-30599241	0
AC002310.7	16:30583570-30595181	6.38932226924226
AC002314.4	19:36174679-36175103	0
AC002321.1	GL000201.1:26347-27637	0
AC002321.2	GL000201.1:3904-22432	0
AC002331.1	16:26596075-26606134	0.0490743666887283
AC002365.1	X:9935391-9936134	0
AC002366.3	X:11352352-11354021	0
AC002368.4	HG1459_PATCH:147579829-147582332	0
AC002368.4	X:147579632-147582135	0
AC002383.2	7:89073287-89123576	0
AC002386.1	7:108962376-108966372	0
AC002395.1	12:111925281-111925382	0
AC002398.11	19:36237957-36244316	5.79113702056929
AC002398.12	19:36245466-36246391	0
AC002398.13	19:36260045-36261930	0.827696600463241
AC002398.5	19:36279777-36288787	0
AC002398.9	19:36236578-36245420	5.78591174213216
AC002400.1	16:23512225-23512951	0
AC002401.1	17:48212950-48223541	3.25509276473895
AC002429.4	7:94647718-94647866	0
AC002429.5	7:94784024-94843644	0
AC002451.1	7:95171456-95173854	0
AC002451.3	7:95225993-95243031	0.0948733161203563
AC002454.1	7:92465796-92546501	0
AC002456.2	7:90219932-90226667	6.31825618911535
AC002463.3	7:112262432-112348135	0
AC002465.2	7:116940914-116962290	0
AC002467.7	7:107383261-107385026	0.736116936895996
AC002472.11	22:21385645-21398258	0
AC002472.1	22:21358029-21360736	2.79609292047098
AC002472.13	22:21400248-21418457	3.58527027303353
AC002477.1	X:119058423-119058513	0
AC002480.2	7:22689578-22705152	0
AC002480.3	7:22602955-22613615	0
AC002480.4	7:22629323-22631241	0
AC002480.5	7:22611225-22701411	0
AC002485.1	6:67069317-67069392	0
AC002486.2	7:20628612-20629708	0
AC002486.3	7:20681180-20681571	0
AC002511.1	19:35890412-35910287	6.71230268664658
AC002511.2	19:35914963-35915554	0
AC002511.3	19:35923858-35925544	0
AC002519.6	16:31814267-31819294	1.46366427885368
AC002519.8	16:31799522-31802314	0
AC002523.1	HG1459_PATCH:148138436-148138887	0
AC002523.1	X:148138245-148138696	0
AC002539.1	17:68013464-68125000	0
AC002539.2	17:67945001-67945088	0
AC002542.2	7:116827601-116827794	0
AC002543.2	7:116513507-116516430	0
AC002550.5	16:19717672-19726705	1.15206152433529
AC002551.1	16:27654519-27655984	0
AC002553.1	17:15943504-15943994	0
AC002553.4	17:15987355-15987695	0
AC002558.1	17:45195867-45195957	8.22042740182951
AC002978.1	12:111511771-111511893	0
AC002979.1	12:111740603-111740703	0.227123738732189
AC002981.1	X:12166436-12166520	0
AC002984.2	19:36664307-36664755	3.60581802669913
AC002985.3	19:19017821-19045206	2.69385328516364
AC002992.1	Y:14482122-14482230	0
AC002994.1	17:59667893-59668541	4.09076860174537
AC003001.1	X:84499100-84499177	0
AC003002.4	19:57874933-57909952	9.38309127930552
AC003002.6	19:57901251-57931362	0.381087770219892
AC003003.5	16:19316202-19322269	0
AC003005.2	19:57989016-57994364	5.05849866196513
AC003005.4	19:57999085-58016749	1.83537013595924
AC003006.1	19:58249832-58249918	0
AC003006.7	19:58193412-58264943	9.98746767407283
AC003009.1	16:13425224-13426440	0
AC003009.2	16:13552182-13552555	0
AC003029.1	12:112277570-112279211	3.05199523223564
AC003035.1	X:14093909-14094010	0
AC003043.1	17:42335296-42355825	0
AC003045.1	7:117080035-117080834	0
AC003051.1	17:67573391-67899141	5.42075769975781
AC003070.1	HSCHR17_1:43471267-43510270	0
AC003075.4	7:17319457-17338981	2.00914051150903
AC003079.1	7:95159501-95159787	0
AC003080.4	7:111611276-111612043	0
AC003084.2	7:117638911-117644099	0
AC003088.1	7:110072295-110174811	0
AC003090.1	7:25632970-25790614	2.2816233150661
AC003092.1	7:93652144-93695973	0
AC003092.2	7:93701070-93706469	0
AC003101.1	17:29898160-29902678	0
AC003102.1	17:42325757-42327236	5.50070312106982
AC003102.3	17:42376941-42392683	1.16061584325507
AC003104.1	17:40422534-40424701	0
AC003658.1	X:14783096-14783239	0
AC003664.1	17:13202500-13210077	0
AC003665.1	17:45974695-46018776	0.0057854363694787
AC003666.1	X:10184637-10184739	0
AC003681.1	22:30340197-30340285	0
AC003682.16	19:58136399-58138318	0
AC003682.17	19:58175647-58176407	3.12141247093678
AC003956.1	19:15234970-15236985	4.43223648704588
AC003958.1	HSCHR17_1_CTG4:39570088-39575352	0
AC003958.2	17:39558667-39581301	0
AC003958.2	HSCHR17_1_CTG4:39565992-39588626	0
AC003958.6	17:39490883-39491985	0
AC003958.6	HSCHR17_1_CTG4:39490883-39491985	0
AC003968.1	7:125680282-125680354	0
AC003973.1	19:22123621-22124335	0
AC003973.4	19:22200760-22219117	0
AC003973.5	19:22226301-22232807	0
AC003973.6	19:22180449-22181642	0
AC003984.1	7:84161791-84213638	0
AC003985.1	7:25360920-25366434	0
AC003986.5	7:19183915-19185876	0
AC003986.6	7:19152096-19153894	0
AC003986.7	7:19159555-19161539	0
AC003988.1	7:79875724-79941772	0
AC003989.3	7:111034930-111035099	0
AC003989.4	7:111051374-111051939	0
AC003991.3	7:87848673-87921781	0
AC004000.1	X:118558027-118558079	0
AC004004.2	19:22684500-22684750	0
AC004006.2	7:82286350-82286727	0
AC004009.3	7:27401461-27449557	1.3104208977893
AC004012.1	7:95101146-95103310	0
AC004014.3	7:108549509-108592723	0
AC004014.4	7:108634087-108635086	0
AC004016.1	7:24940430-24940524	0
AC004016.2	7:24945753-24946213	0
AC004017.1	19:58203867-58204128	6.16719690384343
AC004019.10	22:17897743-17898875	5.29860673472285
AC004019.13	22:18062922-18071958	6.64611201267689
AC004019.18	22:18036249-18037847	6.92418276565149
AC004022.7	7:94978029-94978222	0
AC004022.8	7:94979475-94980541	0
AC004041.2	5:131966280-131999964	1.96348032448441
AC004051.2	4:110224190-110237291	7.68745582550764
AC004052.1	4:105199263-105199348	0
AC004053.1	4:105412121-105618749	6.27491965889931
AC004054.1	4:92029173-92033941	0
AC004057.1	4:114135136-114138326	1.05179992271587
AC004062.2	4:111984738-111985383	0
AC004063.1	4:105478116-105490034	0
AC004066.2	4:106447752-106448554	0
AC004066.3	4:106461346-106473512	0
AC004067.5	4:110613159-110613859	1.19559639599174
AC004069.1	4:106024047-106025161	0
AC004069.2	4:106058436-106061776	1.44222237402573
AC004070.1	X:139298186-139298956	0
AC004074.3	X:72442959-72443394	1.25708466861397
AC004074.4	X:72457482-72458545	0
AC004076.7	19:57905550-57949825	0
AC004076.9	19:57949337-57988904	1.15516091231257
AC004079.1	7:27062155-27062295	0
AC004112.4	7:111968243-112049678	0
AC004112.5	7:112013787-112014305	0
AC004112.7	7:112014378-112015484	0
AC004125.3	16:24247424-24264184	0
AC004125.3	16:24249302-24258866	0
AC004129.7	7:25225241-25228343	0
AC004129.9	7:25251788-25252584	0
AC004156.3	19:663481-668063	0
AC004158.2	16:72459383-72698908	7.85065071424469
AC004158.3	16:72459846-72463072	4.80957923689857
AC004159.1	7:79725915-79726531	0
AC004160.4	7:11446581-11453705	0.92559011420235
AC004166.6	7:74320405-74331163	4.21430381713435
AC004221.2	19:1238177-1239521	0
AC004231.2	17:39077681-39132178	0.16499153804034
AC004231.2	HSCHR17_4_CTG4:39077681-39132305	0
AC004231.7	HSCHR17_1_CTG4:39541223-39545959	0
AC004237.1	5:132024372-132057275	5.37031876388937
AC004257.1	19:15331825-15333108	0.464407973922789
AC004257.3	19:15346329-15346819	5.15923130325973
AC004381.6	16:20817750-20860987	4.92454825202003
AC004381.7	16:20754984-20777942	0
AC004383.3	X:133656731-133657020	0
AC004386.3	X:73562547-73562695	0
AC004386.4	X:73595959-73596720	0
AC004410.3	19:2330293-2330756	9.2999129020609
AC004447.2	19:19101701-19104419	3.87171798152849
AC004448.2	17:19322347-19327670	0
AC004448.5	17:19342455-19364308	0
AC004449.6	19:637104-637537	0
AC004453.8	7:44507440-44507939	1.94170443341136
AC004458.1	7:96097642-96097734	0
AC004460.1	15:31093508-31093591	0
AC004461.4	22:19043313-19044025	0
AC004463.6	22:19158907-19160352	9.0050420165062
AC004463.6	HG329_PATCH:19158907-19160352	0
AC004466.1	12:48178705-48179787	3.05291891330853
AC004471.10	22:19111821-19115962	0.832331930287182
AC004471.9	22:19109041-19112016	5.33140036975965
AC004485.3	7:24236280-24295338	0
AC004490.1	19:2212027-2215564	9.16069664061069
AC004492.1	7:106935329-106935396	0
AC004510.3	19:15937854-15946663	1.7200198280625
AC004520.1	7:26099958-26100058	0
AC004528.1	19:999600-999952	0
AC004528.4	19:999794-1002756	0
AC004535.2	7:10742302-10747033	0
AC004538.3	7:11221358-11559802	9.30150872096419
AC004540.4	7:26411763-26416321	9.85538041451946
AC004540.5	7:26438212-26538594	8.19892749655992
AC004543.1	7:19759010-19759074	0
AC004543.2	7:19853307-19857713	0
AC004549.6	7:27773013-27780014	0
AC004552.1	X:24366925-24367023	0
AC004562.1	17:67957847-67979679	0
AC004593.3	7:29239155-29248586	0
AC004595.1	7:21461886-21461986	0
AC004603.4	19:43326014-43331030	0
AC004623.2	19:1376771-1377519	7.08579719997942
AC004637.1	19:3672579-3674293	0
AC004655.1	X:24716238-24716308	0
AC004656.1	X:24535356-24535457	0
AC004673.1	X:23138948-23139022	0
AC004691.5	7:30836306-30843026	0
AC004692.4	7:43278664-43288867	0
AC004692.5	7:43313757-43314181	3.05942248320207
AC004699.1	19:15163740-15163885	0
AC004702.2	17:20088394-20226286	4.1455205809325
AC004706.1	17:6555058-6556617	9.52930288854986
AC004744.3	7:18931718-18939056	0
AC004745.1	7:96920825-96920908	0
AC004769.1	5:129613317-129613386	0
AC004771.1	17:4890301-4890972	1.90057203406468
AC004775.5	5:132152939-132153692	0
AC004791.2	19:15962802-15975714	0
AC004797.1	17:47500969-47502298	3.29038321506232
AC004812.1	12:120609842-120609930	0
AC004817.1	14:71683030-71683462	0
AC004824.1	1:17740126-17740190	3.4090928081423
AC004824.2	1:17655506-17676070	9.99116612365469
AC004832.1	22:30831530-30832231	0
AC004837.3	7:39649315-39649879	0
AC004837.4	7:39649208-39649889	0
AC004837.5	7:39739939-39742895	0
AC004840.8	7:2423755-2428232	0
AC004840.9	7:2477397-2487485	2.59600387653336
AC004851.1	7:73985676-73985754	0
AC004851.2	HG1257_PATCH:74036303-74036381	0
AC004854.4	7:44888014-44889167	0
AC004854.5	7:44959267-44959928	0
AC004862.6	7:79959507-80014295	0
AC004866.1	7:80964421-80964499	0
AC004866.3	7:81061046-81062112	0
AC004869.2	7:46517419-46521176	0
AC004869.3	7:46516054-46517538	0
AC004870.3	7:47040217-47118726	0
AC004870.4	7:47009299-47067079	0
AC004870.5	7:47092390-47093272	0
AC004875.1	7:121214722-121214808	0
AC004878.2	7:74855311-74864233	4.30844319751486
AC004878.3	7:74945133-74957275	1.2550691398792
AC004878.5	7:74910310-74918380	3.82643486373127
AC004878.6	7:74936532-74944219	0
AC004878.7	7:74856620-74857439	0
AC004878.8	7:74862850-74863847	0
AC004878.8	HG1257_PATCH:74697884-74698881	0
AC004889.1	7:143880547-143883173	7.6461740070954
AC004893.10	7:98596160-98597553	0
AC004893.11	7:98610787-98645863	8.14955717884004
AC004895.1	7:6122735-6122805	0
AC004895.4	7:6120733-6132716	0
AC004899.1	7:48887361-48891221	0
AC004899.3	7:48886021-48892494	0
AC004901.1	7:46930222-47089276	0
AC004906.3	7:2983668-2986725	6.29297268809751
AC004911.2	7:144966606-144967477	0
AC004917.1	7:106300344-106301342	5.12753740418702
AC004920.2	7:50911274-50911429	0
AC004920.3	7:50907059-50909689	0
AC004924.1	11:67700684-67700833	0
AC004938.5	7:44550623-44550931	0
AC004941.3	7:149095294-149098547	0
AC004941.5	7:149018955-149019183	0
AC004943.1	16:72821591-72821672	0
AC004945.1	7:78982725-78983708	0
AC004947.2	7:26591440-26596819	7.03722473466769
AC004951.5	7:44024592-44029806	0.582299462985247
AC004951.6	7:44043644-44047465	6.47048353450373
AC004967.7	7:97598316-97601566	7.19364444725215
AC004969.1	7:89800654-89800738	0
AC004980.10	7:76279717-76280214	5.39456479717046
AC004980.11	7:76163010-76170884	8.89822973171249
AC004980.1	7:76326818-76326971	0
AC004980.7	7:76178676-76257299	9.04626367148012
AC004980.8	7:76150927-76151391	3.79386299988255
AC004980.9	7:76153831-76162009	8.46572935581207
AC004985.12	7:44001188-44012924	5.6434381310828
AC004987.10	7:39872884-39873392	0
AC004987.9	7:39872812-39874544	3.09948597569019
AC004988.1	7:40577725-40586527	3.85747069492936
AC005000.1	X:114953099-114953685	0.97328539006412
AC005000.2	X:114938131-114938187	0
AC005000.3	HG1462_PATCH:114940281-114940337	0
AC005000.4	HG1462_PATCH:114955249-114955835	0
AC005003.1	22:31742874-31744670	4.70406270353124
AC005007.3	7:11046025-11046503	0
AC005008.2	7:80804823-80828431	0
AC005008.3	7:80820713-80821325	0
AC005009.1	7:86404396-86405338	1.69844060437754
AC005009.2	7:86413541-86415986	8.75699147349223
AC005013.1	7:28992973-28998029	7.68808705266565
AC005013.5	7:28997282-28998961	0
AC005014.5	7:16623406-16626382	5.16826940700412
AC005017.2	7:28318829-28319319	0
AC005019.2	7:13911480-13912138	7.87846092833206
AC005019.3	7:13893979-13898650	0
AC005020.1	7:99184537-99184622	0
AC005022.1	7:41141201-41173105	0
AC005027.3	7:41706765-41744933	0
AC005029.1	7:41004265-41019537	0
AC005033.6	2:74845982-74848106	0
AC005034.2	2:75825196-75825685	0
AC005034.3	2:75878413-75878753	0
AC005037.1	2:201708962-201710184	0
AC005037.2	2:201707908-201708022	0
AC005037.3	2:201827985-201873825	0.132268136367202
AC005037.4	2:201931413-201931914	0
AC005037.6	2:202079375-202079673	0
AC005040.3	2:107579648-107580130	0
AC005041.11	2:74640146-74640608	0
AC005041.17	2:74725814-74726494	1.93220836808905
AC005042.2	2:159404936-159405736	4.02075567282736
AC005042.3	2:159559798-159559972	0
AC005042.4	2:159514848-159591514	2.2688724193722
AC005042.5	2:159542414-159610287	0
AC005048.1	7:107677290-107677381	0
AC005062.2	7:19958603-20180076	6.07771899551153
AC005071.1	7:99817649-99817743	0
AC005076.5	7:86780738-86781736	0.130774660501629
AC005077.12	7:75719748-75738097	9.73562627797946
AC005077.12	HG1257_PATCH:75555387-75573736	0
AC005077.14	7:75700786-75704281	3.2013117801398
AC005077.14	HG1257_PATCH:75536425-75539920	0
