gene_short_name	locus	expression
A2ML1-AS1	12:8928814-8983543	9.06879
A2ML1-AS2	12:8972411-8973309	5.58716
A2MP1	12:9381128-9428413	9.96731
A3GALT2	1:33772366-33786699	0
A4GALT	22:43088126-43117304	0
A4GNT	3:137842559-137851229	0
AAAS	12:53701239-53718648	0
AACS	12:125549924-125627873	1.74654
AACSP1	5:178191861-178245436	0
AADAC	3:151531824-151546276	9.40041
AADACL2	3:151451703-151479127	0
AADACL2	HSCHR3_1_CTG2_1:151462241-151489665	1.57288
AADACL3	1:12776117-12788726	5.4849
AADACL4	1:12704565-12727097	3.69205
AADAT	4:170981372-171012850	3.24239
AAED1	9:99401858-99417585	0
AAGAB	15:67493370-67547533	0
AAK1	2:69688531-69901481	6.89104
AAMDC	11:77532154-77629478	7.51977
AAMP	2:219128849-219134980	0
AANAT	17:74449432-74466199	1.26323
AAR2	20:34824380-34858840	3.03498
AARD	8:117950437-117956726	0
AARS	16:70286197-70323446	0
AARS2	6:44267390-44281063	5.21018
AARSD1	17:41102542-41116515	9.99627
AASDH	4:57204455-57253666	0
AASDHPPT	11:105946227-105969437	7.24204
AASS	7:121715700-121784334	9.03885
AATF	17:35306174-35414171	9.77021
AATK	17:79091094-79139877	8.94521
AATK-AS1	17:79139306-79156964	0
AB015752.3	8:91546838-91632298	9.60909
AB019438.66	14:106892324-106892465	1.80315
AB019438.66	HG1592_PATCH:106902751-106902892	2.88981
AB019440.1	14:106663420-106663529	9.45319
AB019440.50	14:106663245-106665214	6.76097
AB019440.50	HG1592_PATCH:106672939-106674908	6.38171
AB019441.29	14:106444606-106445233	2.75431
AB019441.29	HG1592_PATCH:106444856-106445483	0
ABAT	16:8768421-8878432	7.30014
ABBA01057584.1	HG1308_PATCH:130217800-130218782	1.44771
ABC12-47043100G14.2	8:12147579-12153689	4.71367
ABC13-48559800H2.1	HSCHR1_2_CTG31:155195548-155198898	2.25044
ABC13-48559800H2.2	HSCHR1_2_CTG31:155180969-155183462	5.12433
ABC7-42389800N19.1	12:73724-91218	9.96862
ABC7-42389800N19.1	HG858_PATCH:64521-82015	8.00474
ABC7-42389800N19.1	HSCHR12_1_CTG1:64521-82015	0
ABC7-42391500H16.2	HG1032_PATCH:191116881-191117345	0
ABC7-43041300I9.1	2:243160371-243160825	0
ABC7-43041300I9.1	HG1007_PATCH:243117331-243117785	0
ABC9-43961700F1.1	HSCHR17_5_CTG4:39394252-39394717	0
ABCA10	17:67143354-67240987	0.16549
ABCA11P	4:419223-467918	7.9195
ABCA11P	HG174_HG254_PATCH:425434-474129	3.07791
ABCA12	2:215796265-216003151	0.85882
ABCA13	7:48211054-48687092	1.98832
ABCA17P	16:2389150-2476700	3.35619
ABCA1	9:107543282-107690518	0.32751
ABCA2	9:139901685-139923367	0
ABCA3	16:2325881-2390747	6.35347
ABCA4	1:94458392-94586688	1.35824
ABCA5	17:67240451-67323385	4.40741
ABCA6	17:67074842-67138029	8.26829
ABCA7	19:1040101-1065571	7.01822
ABCA8	17:66863432-66951533	6.62419
ABCA9	17:66970628-67057205	1.01668
ABCA9-AS1	17:67000854-67014464	0
ABCB10	1:229652328-229694442	8.6161
ABCB10P1	15:22691015-22693200	0
ABCB10P3	15:28648013-28650179	0
ABCB10P4	15:28751770-28753954	0.01059
ABCB10P4	HSCHR15_1_CTG4:28763389-28765572	8.1146
ABCB11	2:169779447-169887832	9.02767
ABCB11	HSCHR2_1_CTG12:169796436-169904821	9.68275
ABCB1	7:87133174-87342611	7.4768
ABCB4	7:87031012-87109751	8.70349
ABCB5	7:20654829-20816658	0
ABCB6	2:220074489-220083712	9.95658
ABCB7	X:74273114-74376567	0.66286
ABCB8	7:150725509-150744869	0
ABCB9	12:123405497-123466196	0
ABCC10	6:43395103-43418168	0
ABCC11	16:48200820-48281479	0
ABCC1	16:16043433-16236931	0
ABCC12	16:48116883-48189929	0
ABCC13	21:15608526-15735075	3.80338
ABCC2	10:101542488-101611949	3.99956
ABCC3	17:48712137-48769613	0
ABCC4	13:95672082-95953687	8.26267
ABCC5	3:183637721-183735803	5.85456
ABCC5-AS1	3:183724125-183729207	2.01188
ABCC6	16:16242784-16317379	4.63089
ABCC6P1	16:18582483-18609650	8.79085
ABCC6P2	16:14914648-14918563	5.94972
ABCC8	11:17414431-17498449	3.36097
ABCC9	12:21950334-22094336	6.00675
ABCD1	HG1497_PATCH:152893339-152913233	1.72258
ABCD1P2	10:38894548-38898740	4.16464
ABCD1P3	16:32486371-32489571	8.83102
ABCD1P4	22:16868419-16871613	4.67602
ABCD1P4	HG1488_PATCH:16904969-16908163	2.10371
ABCD1P5	2:92028626-92031828	7.48512
ABCD1	X:152990322-153010216	5.11112
ABCD2	12:39943834-40013553	0
ABCD3	1:94883932-94984222	0
ABCD4	14:74752125-74769759	7.50276
ABCE1	4:146019083-146050331	9.91118
ABCF1	6:30539152-30564956	4.48637
ABCF1	HSCHR6_MHC_COX:30528999-30554805	9.15449
ABCF1	HSCHR6_MHC_DBB:30529390-30555197	3.3436
ABCF1	HSCHR6_MHC_MANN:30583827-30609632	5.04117
ABCF1	HSCHR6_MHC_MCF:30617609-30643414	3.23023
ABCF1	HSCHR6_MHC_QBL:30528661-30554466	6.53431
ABCF1	HSCHR6_MHC_SSTO:30530572-30556377	0
ABCF2	7:150904922-150924316	7.68612
ABCF2P1	3:88366305-88368172	8.07835
ABCF2P2	7:71568165-71569194	2.20374
ABCF3	3:183903810-183911800	0
ABCG1	21:43619798-43717354	0
ABCG2	4:89011415-89152474	5.78059
ABCG4	11:119019721-119033360	8.55307
ABCG5	2:44039610-44066004	2.05884
ABCG8	2:44066102-44105605	0
ABHD10	3:111697856-111712210	0
ABHD11	7:73150423-73153197	2.20683
ABHD11	HG1257_PATCH:73201050-73203824	1.30106
ABHD12	20:25275378-25371619	9.10758
ABHD1	2:27346681-27353680	9.36284
ABHD12B	14:51338877-51371688	2.99923
ABHD13	13:108870726-108886603	0
ABHD14A	3:52005441-52015212	5.79489
ABHD14A-ACY1	3:52009065-52023190	8.3777
ABHD14B	3:52002525-52017425	0
ABHD15	17:27887564-27894155	9.5002
ABHD16A	6:31654725-31671221	0
ABHD16A	HSCHR6_MHC_COX:31642140-31658607	0.73016
ABHD16A	HSCHR6_MHC_DBB:31636900-31653368	0
ABHD16A	HSCHR6_MHC_MANN:31694218-31710687	0
ABHD16A	HSCHR6_MHC_MCF:31731008-31747477	0
ABHD16A	HSCHR6_MHC_QBL:31644971-31661447	7.59661
ABHD16A	HSCHR6_MHC_SSTO:31644673-31661153	0
ABHD16B	20:62492565-62494341	6.94506
ABHD17A	19:1876808-1885546	4.25112
ABHD17AP1	1:147618672-147621845	0
ABHD17AP1	HG1287_PATCH:148832808-148835981	0
ABHD17AP2	1:146076837-146080009	0
ABHD17AP3	1:214778812-214782183	0
ABHD17AP4	22:21022123-21025272	0
ABHD17AP5	22:22469235-22472374	0
ABHD17AP6	17:20717932-20747570	4.55529
ABHD17B	9:74477367-74525847	0
ABHD17C	15:80972024-81047962	2.92584
ABHD2	15:89630689-89745591	6.35312
ABHD3	18:19230857-19284766	4.87942
ABHD4	14:23067145-23081265	0
ABHD5	3:43731604-43775863	0
ABHD6	3:58223232-58281420	0
ABHD8	19:17402939-17421045	7.08283
ABI1	10:27035521-27150016	6.15871
ABI2	2:204192941-204312446	5.08145
ABI3	17:47287588-47300587	9.05708
ABI3BP	3:100467999-100712359	0.41744
ABL1	9:133589332-133763062	0
ABL2	1:179068461-179198819	8.91339
ABLIM1	10:116190871-116444762	4.02831
ABLIM2	4:7967038-8160559	7.16367
ABLIM3	5:148521045-148640105	0
ABO	9:136125787-136150617	4.76266
ABO	HG79_PATCH:136125798-136150736	0
ABR	17:906757-1132315	0
ABRA	8:107771710-107782473	2.68226
ABRACL	6:139349818-139364439	9.82731
ABT1	6:26597179-26600278	3.84113
ABT1	HG27_PATCH:26597179-26600278	3.67312
ABT1P1	4:99943461-99944282	0
ABTB1	3:127391777-127399768	8.1258
ABTB2	11:34172534-34379555	0
AC000003.1	17:9974206-9974321	0
AC000003.2	17:10048830-10050277	8.57447
AC000029.1	22:23478806-23478897	0
AC000032.2	1:110235738-110236364	8.38249
AC000036.4	22:51174252-51176567	2.75809
AC000041.8	22:29815143-29819182	1.93962
AC000067.1	22:19654545-19655078	0
AC000068.10	22:19444025-19444485	0
AC000068.5	22:19435415-19437628	6.82428
AC000068.9	22:19441701-19442128	8.76818
AC000077.2	22:19618272-19621097	8.16603
AC000078.5	22:19874811-19875493	0
AC000081.2	22:19225965-19226262	1.377
AC000081.2	HG329_PATCH:19225955-19226252	8.30973
AC000089.3	22:19779816-19780617	3.38434
AC000095.9	22:19005555-19006429	8.38919
AC000099.1	7:126855180-126869975	7.57932
AC000110.1	7:126935673-126936257	8.7518
AC000111.3	7:117200786-117204730	8.52891
AC000111.4	7:117127790-117127983	7.54462
AC000111.5	7:117226260-117226470	0
AC000111.6	7:117244844-117287469	0.91992
AC000120.7	7:91829327-91836171	6.93365
AC000123.4	7:126990181-126991577	0
AC000124.1	7:127116936-127125858	0
AC000362.1	7:126621020-126621832	0.71283
AC000367.1	7:126508820-126510586	0
AC000370.2	7:126019023-126064239	1.54563
AC000374.1	7:126151188-126152933	0
AC000403.1	13:77460455-77460535	0
AC002044.4	16:73048217-73048375	9.13657
AC002056.3	22:51193095-51193862	1.62206
AC002056.5	22:51179020-51181948	2.20582
AC002059.10	22:29712732-29713209	6.0091
AC002064.4	7:89895347-89899530	8.65215
AC002064.5	7:89941809-89951906	9.3175
AC002066.1	7:115878313-116139519	2.4147
AC002066.1	7:116056170-116105330	7.40944
AC002066.2	7:115985908-115985998	7.60556
AC002069.5	7:88194107-88195596	9.30347
AC002069.6	7:88141343-88142502	3.43487
AC002070.1	12:120018596-120018700	0.03096
AC002075.3	7:93407150-93407826	2.75211
AC002075.4	7:93299137-93299389	0.71743
AC002076.10	7:93520224-93522913	0
AC002115.5	19:36088808-36092403	8.28789
AC002115.9	19:36099186-36103568	0
AC002116.7	19:36505409-36536874	0.22295
AC002116.8	19:36499539-36505137	0
AC002117.1	17:43227766-43238877	2.23192
AC002127.2	7:88378783-88379008	0
AC002127.4	7:88339944-88386039	9.02128
AC002128.5	19:35742342-35744542	0
AC002306.1	19:19717158-19719469	9.33506
AC002310.10	16:30548522-30549552	0
AC002310.12	16:30546072-30548465	9.2832
AC002310.13	16:30545547-30569600	9.00299
AC002310.17	16:30598982-30599241	9.96199
AC002310.7	16:30583570-30595181	3.45177
AC002314.4	19:36174679-36175103	3.70476
AC002321.1	GL000201.1:26347-27637	0
AC002321.2	GL000201.1:3904-22432	8.46792
AC002331.1	16:26596075-26606134	1.40248
AC002365.1	X:9935391-9936134	0.38321
AC002366.3	X:11352352-11354021	6.24726
AC002368.4	HG1459_PATCH:147579829-147582332	0
AC002368.4	X:147579632-147582135	0
AC002383.2	7:89073287-89123576	5.12176
AC002386.1	7:108962376-108966372	0
AC002395.1	12:111925281-111925382	0
AC002398.11	19:36237957-36244316	0
AC002398.12	19:36245466-36246391	0
AC002398.13	19:36260045-36261930	4.02105
AC002398.5	19:36279777-36288787	7.71524
AC002398.9	19:36236578-36245420	1.43766
AC002400.1	16:23512225-23512951	9.54149
AC002401.1	17:48212950-48223541	8.16089
AC002429.4	7:94647718-94647866	0
AC002429.5	7:94784024-94843644	6.12868
AC002451.1	7:95171456-95173854	4.89212
AC002451.3	7:95225993-95243031	0
AC002454.1	7:92465796-92546501	0.36674
AC002456.2	7:90219932-90226667	5.28087
AC002463.3	7:112262432-112348135	5.67219
AC002465.2	7:116940914-116962290	0.57681
AC002467.7	7:107383261-107385026	4.21911
AC002472.11	22:21385645-21398258	8.7773
AC002472.1	22:21358029-21360736	0
AC002472.13	22:21400248-21418457	4.56179
AC002477.1	X:119058423-119058513	3.07655
AC002480.2	7:22689578-22705152	0
AC002480.3	7:22602955-22613615	8.87716
AC002480.4	7:22629323-22631241	2.34447
AC002480.5	7:22611225-22701411	0
AC002485.1	6:67069317-67069392	6.09827
AC002486.2	7:20628612-20629708	6.46514
AC002486.3	7:20681180-20681571	0
AC002511.1	19:35890412-35910287	7.90289
AC002511.2	19:35914963-35915554	0
AC002511.3	19:35923858-35925544	4.56628
AC002519.6	16:31814267-31819294	3.25232
AC002519.8	16:31799522-31802314	7.70368
AC002523.1	HG1459_PATCH:148138436-148138887	6.12758
AC002523.1	X:148138245-148138696	4.75054
AC002539.1	17:68013464-68125000	1.15686
AC002539.2	17:67945001-67945088	0
AC002542.2	7:116827601-116827794	0
AC002543.2	7:116513507-116516430	0
AC002550.5	16:19717672-19726705	5.15221
AC002551.1	16:27654519-27655984	3.87957
AC002553.1	17:15943504-15943994	8.51832
AC002553.4	17:15987355-15987695	4.82119
AC002558.1	17:45195867-45195957	5.92373
AC002978.1	12:111511771-111511893	5.98063
AC002979.1	12:111740603-111740703	2.40214
AC002981.1	X:12166436-12166520	1.87394
AC002984.2	19:36664307-36664755	1.01047
AC002985.3	19:19017821-19045206	0
AC002992.1	Y:14482122-14482230	3.03581
AC002994.1	17:59667893-59668541	0
AC003001.1	X:84499100-84499177	0.98326
AC003002.4	19:57874933-57909952	2.63411
AC003002.6	19:57901251-57931362	9.05742
AC003003.5	16:19316202-19322269	5.51547
AC003005.2	19:57989016-57994364	0
AC003005.4	19:57999085-58016749	6.00939
AC003006.1	19:58249832-58249918	0
AC003006.7	19:58193412-58264943	5.9814
AC003009.1	16:13425224-13426440	0
AC003009.2	16:13552182-13552555	0.08653
AC003029.1	12:112277570-112279211	0
AC003035.1	X:14093909-14094010	0
AC003043.1	17:42335296-42355825	9.66364
AC003045.1	7:117080035-117080834	1.89503
AC003051.1	17:67573391-67899141	1.99686
AC003070.1	HSCHR17_1:43471267-43510270	3.00835
AC003075.4	7:17319457-17338981	0
AC003079.1	7:95159501-95159787	1.66067
AC003080.4	7:111611276-111612043	0
AC003084.2	7:117638911-117644099	9.53041
AC003088.1	7:110072295-110174811	0
AC003090.1	7:25632970-25790614	8.20029
AC003092.1	7:93652144-93695973	0.91597
AC003092.2	7:93701070-93706469	4.98779
AC003101.1	17:29898160-29902678	6.9335
AC003102.1	17:42325757-42327236	5.57226
AC003102.3	17:42376941-42392683	7.49035
AC003104.1	17:40422534-40424701	0
AC003658.1	X:14783096-14783239	8.43041
AC003664.1	17:13202500-13210077	0
AC003665.1	17:45974695-46018776	8.28197
AC003666.1	X:10184637-10184739	0
AC003681.1	22:30340197-30340285	4.01613
AC003682.16	19:58136399-58138318	1.96026
AC003682.17	19:58175647-58176407	7.74599
AC003956.1	19:15234970-15236985	0
AC003958.1	HSCHR17_1_CTG4:39570088-39575352	2.7909
AC003958.2	17:39558667-39581301	5.48126
AC003958.2	HSCHR17_1_CTG4:39565992-39588626	0
AC003958.6	17:39490883-39491985	9.26582
AC003958.6	HSCHR17_1_CTG4:39490883-39491985	0.96922
AC003968.1	7:125680282-125680354	0
AC003973.1	19:22123621-22124335	0
AC003973.4	19:22200760-22219117	0
AC003973.5	19:22226301-22232807	0
AC003973.6	19:22180449-22181642	2.46174
AC003984.1	7:84161791-84213638	0
AC003985.1	7:25360920-25366434	0
AC003986.5	7:19183915-19185876	5.09044
AC003986.6	7:19152096-19153894	6.3477
AC003986.7	7:19159555-19161539	0
AC003988.1	7:79875724-79941772	5.81795
AC003989.3	7:111034930-111035099	0.35492
AC003989.4	7:111051374-111051939	9.65298
AC003991.3	7:87848673-87921781	0
AC004000.1	X:118558027-118558079	5.84248
AC004004.2	19:22684500-22684750	9.42526
AC004006.2	7:82286350-82286727	2.41877
AC004009.3	7:27401461-27449557	0
AC004012.1	7:95101146-95103310	0
AC004014.3	7:108549509-108592723	2.38122
AC004014.4	7:108634087-108635086	0
AC004016.1	7:24940430-24940524	2.61964
AC004016.2	7:24945753-24946213	0
AC004017.1	19:58203867-58204128	8.64464
AC004019.10	22:17897743-17898875	4.50757
AC004019.13	22:18062922-18071958	6.01113
AC004019.18	22:18036249-18037847	8.3853
AC004022.7	7:94978029-94978222	3.49191
AC004022.8	7:94979475-94980541	0
AC004041.2	5:131966280-131999964	1.42028
AC004051.2	4:110224190-110237291	7.025
AC004052.1	4:105199263-105199348	0
AC004053.1	4:105412121-105618749	0
AC004054.1	4:92029173-92033941	3.5134
AC004057.1	4:114135136-114138326	0
AC004062.2	4:111984738-111985383	5.33867
AC004063.1	4:105478116-105490034	7.86514
AC004066.2	4:106447752-106448554	0.81479
AC004066.3	4:106461346-106473512	0
AC004067.5	4:110613159-110613859	5.88198
AC004069.1	4:106024047-106025161	0
AC004069.2	4:106058436-106061776	5.61426
AC004070.1	X:139298186-139298956	0.32576
AC004074.3	X:72442959-72443394	0
AC004074.4	X:72457482-72458545	3.15674
AC004076.7	19:57905550-57949825	9.08488
AC004076.9	19:57949337-57988904	0
AC004079.1	7:27062155-27062295	5.37637
AC004112.4	7:111968243-112049678	2.29836
AC004112.5	7:112013787-112014305	3.96482
AC004112.7	7:112014378-112015484	6.16075
AC004125.3	16:24247424-24264184	7.54303
AC004125.3	16:24249302-24258866	0.13335
AC004129.7	7:25225241-25228343	9.69553
AC004129.9	7:25251788-25252584	7.31692
AC004156.3	19:663481-668063	5.88211
AC004158.2	16:72459383-72698908	3.77866
AC004158.3	16:72459846-72463072	5.15992
AC004159.1	7:79725915-79726531	8.70639
AC004160.4	7:11446581-11453705	0
AC004166.6	7:74320405-74331163	0
AC004221.2	19:1238177-1239521	0.5297
AC004231.2	17:39077681-39132178	0
AC004231.2	HSCHR17_4_CTG4:39077681-39132305	1.77376
AC004231.7	HSCHR17_1_CTG4:39541223-39545959	8.80114
AC004237.1	5:132024372-132057275	0
AC004257.1	19:15331825-15333108	0.91398
AC004257.3	19:15346329-15346819	0
AC004381.6	16:20817750-20860987	8.11019
AC004381.7	16:20754984-20777942	0.17825
AC004383.3	X:133656731-133657020	0.07127
AC004386.3	X:73562547-73562695	3.17553
AC004386.4	X:73595959-73596720	5.08563
AC004410.3	19:2330293-2330756	8.26383
AC004447.2	19:19101701-19104419	2.80613
AC004448.2	17:19322347-19327670	4.73691
AC004448.5	17:19342455-19364308	1.58789
AC004449.6	19:637104-637537	7.84908
AC004453.8	7:44507440-44507939	1.02701
AC004458.1	7:96097642-96097734	7.09527
AC004460.1	15:31093508-31093591	8.82077
AC004461.4	22:19043313-19044025	3.34845
AC004463.6	22:19158907-19160352	3.60952
AC004463.6	HG329_PATCH:19158907-19160352	0
AC004466.1	12:48178705-48179787	1.35795
AC004471.10	22:19111821-19115962	0
AC004471.9	22:19109041-19112016	3.98372
AC004485.3	7:24236280-24295338	2.89615
AC004490.1	19:2212027-2215564	0
AC004492.1	7:106935329-106935396	0.38564
AC004510.3	19:15937854-15946663	0
AC004520.1	7:26099958-26100058	3.07838
AC004528.1	19:999600-999952	6.65172
AC004528.4	19:999794-1002756	0
AC004535.2	7:10742302-10747033	0
AC004538.3	7:11221358-11559802	3.27324
AC004540.4	7:26411763-26416321	8.07181
AC004540.5	7:26438212-26538594	4.39869
AC004543.1	7:19759010-19759074	3.13613
AC004543.2	7:19853307-19857713	0.7533
AC004549.6	7:27773013-27780014	2.13607
AC004552.1	X:24366925-24367023	9.64161
AC004562.1	17:67957847-67979679	2.85303
AC004593.3	7:29239155-29248586	4.70708
AC004595.1	7:21461886-21461986	0
AC004603.4	19:43326014-43331030	0
AC004623.2	19:1376771-1377519	4.20544
AC004637.1	19:3672579-3674293	0
AC004655.1	X:24716238-24716308	0
AC004656.1	X:24535356-24535457	4.67491
AC004673.1	X:23138948-23139022	6.54269
AC004691.5	7:30836306-30843026	6.43883
AC004692.4	7:43278664-43288867	5.83312
AC004692.5	7:43313757-43314181	6.39019
AC004699.1	19:15163740-15163885	7.33452
AC004702.2	17:20088394-20226286	0
AC004706.1	17:6555058-6556617	7.41689
AC004744.3	7:18931718-18939056	4.09631
AC004745.1	7:96920825-96920908	4.08106
AC004769.1	5:129613317-129613386	0
AC004771.1	17:4890301-4890972	0
AC004775.5	5:132152939-132153692	5.12709
AC004791.2	19:15962802-15975714	0
AC004797.1	17:47500969-47502298	3.7105
AC004812.1	12:120609842-120609930	4.72514
AC004817.1	14:71683030-71683462	9.92901
AC004824.1	1:17740126-17740190	0
AC004824.2	1:17655506-17676070	3.72806
AC004832.1	22:30831530-30832231	9.61991
AC004837.3	7:39649315-39649879	4.71299
AC004837.4	7:39649208-39649889	6.47515
AC004837.5	7:39739939-39742895	4.36683
AC004840.8	7:2423755-2428232	4.73541
AC004840.9	7:2477397-2487485	3.11155
AC004851.1	7:73985676-73985754	4.95466
AC004851.2	HG1257_PATCH:74036303-74036381	0
AC004854.4	7:44888014-44889167	0
AC004854.5	7:44959267-44959928	9.97603
AC004862.6	7:79959507-80014295	1.10203
AC004866.1	7:80964421-80964499	3.17737
AC004866.3	7:81061046-81062112	3.53771
AC004869.2	7:46517419-46521176	4.08903
AC004869.3	7:46516054-46517538	1.12505
AC004870.3	7:47040217-47118726	8.20675
AC004870.4	7:47009299-47067079	0
AC004870.5	7:47092390-47093272	0
AC004875.1	7:121214722-121214808	0
AC004878.2	7:74855311-74864233	3.81114
AC004878.3	7:74945133-74957275	0
AC004878.5	7:74910310-74918380	1.77026
AC004878.6	7:74936532-74944219	9.7297
AC004878.7	7:74856620-74857439	6.22996
AC004878.8	7:74862850-74863847	5.9434
AC004878.8	HG1257_PATCH:74697884-74698881	0.61821
AC004889.1	7:143880547-143883173	0
AC004893.10	7:98596160-98597553	0
AC004893.11	7:98610787-98645863	0
AC004895.1	7:6122735-6122805	0
AC004895.4	7:6120733-6132716	0
AC004899.1	7:48887361-48891221	8.81294
AC004899.3	7:48886021-48892494	3.31941
AC004901.1	7:46930222-47089276	0
AC004906.3	7:2983668-2986725	0
AC004911.2	7:144966606-144967477	0
AC004917.1	7:106300344-106301342	1.65229
AC004920.2	7:50911274-50911429	1.75787
AC004920.3	7:50907059-50909689	9.87209
AC004924.1	11:67700684-67700833	8.01567
AC004938.5	7:44550623-44550931	5.68743
AC004941.3	7:149095294-149098547	0
AC004941.5	7:149018955-149019183	0
AC004943.1	16:72821591-72821672	0.7992
AC004945.1	7:78982725-78983708	0.33188
AC004947.2	7:26591440-26596819	9.20245
AC004951.5	7:44024592-44029806	5.90412
AC004951.6	7:44043644-44047465	7.26054
AC004967.7	7:97598316-97601566	0
AC004969.1	7:89800654-89800738	0
AC004980.10	7:76279717-76280214	0
AC004980.11	7:76163010-76170884	4.83704
AC004980.1	7:76326818-76326971	4.24413
AC004980.7	7:76178676-76257299	1.04218
AC004980.8	7:76150927-76151391	2.28231
AC004980.9	7:76153831-76162009	3.55124
AC004985.12	7:44001188-44012924	0
AC004987.10	7:39872884-39873392	8.91729
AC004987.9	7:39872812-39874544	9.46216
AC004988.1	7:40577725-40586527	1.55094
AC005000.1	X:114953099-114953685	0.0482
AC005000.2	X:114938131-114938187	1.89506
AC005000.3	HG1462_PATCH:114940281-114940337	0
AC005000.4	HG1462_PATCH:114955249-114955835	0
AC005003.1	22:31742874-31744670	4.01628
AC005007.3	7:11046025-11046503	0
AC005008.2	7:80804823-80828431	3.22433
AC005008.3	7:80820713-80821325	4.26221
AC005009.1	7:86404396-86405338	0
AC005009.2	7:86413541-86415986	0
AC005013.1	7:28992973-28998029	0.80088
AC005013.5	7:28997282-28998961	8.40417
AC005014.5	7:16623406-16626382	0
AC005017.2	7:28318829-28319319	4.80367
AC005019.2	7:13911480-13912138	1.39433
AC005019.3	7:13893979-13898650	0
AC005020.1	7:99184537-99184622	6.96331
AC005022.1	7:41141201-41173105	4.3178
AC005027.3	7:41706765-41744933	8.29652
AC005029.1	7:41004265-41019537	6.7398
AC005033.6	2:74845982-74848106	0
AC005034.2	2:75825196-75825685	0
AC005034.3	2:75878413-75878753	4.49517
AC005037.1	2:201708962-201710184	4.53082
AC005037.2	2:201707908-201708022	2.16822
AC005037.3	2:201827985-201873825	5.36999
AC005037.4	2:201931413-201931914	8.05597
AC005037.6	2:202079375-202079673	6.16075
AC005040.3	2:107579648-107580130	8.62789
AC005041.11	2:74640146-74640608	1.59207
AC005041.17	2:74725814-74726494	0
AC005042.2	2:159404936-159405736	0
AC005042.3	2:159559798-159559972	0
AC005042.4	2:159514848-159591514	0.22594
AC005042.5	2:159542414-159610287	8.05706
AC005048.1	7:107677290-107677381	0
AC005062.2	7:19958603-20180076	3.76635
AC005071.1	7:99817649-99817743	2.56363
AC005076.5	7:86780738-86781736	8.88083
AC005077.12	7:75719748-75738097	9.66547
AC005077.12	HG1257_PATCH:75555387-75573736	0
AC005077.14	7:75700786-75704281	3.32634
AC005077.14	HG1257_PATCH:75536425-75539920	2.87073
AC005077.5	7:75803050-75806523	2.88937
AC005077.5	HG1257_PATCH:75638689-75642162	7.34533
AC005077.7	7:75747042-75761505	0
AC005077.7	HG1257_PATCH:75582681-75597144	8.91077
AC005077.8	7:75742343-75742718	6.85986
AC005077.8	HG1257_PATCH:75577982-75578357	5.60629
AC005077.9	7:75737751-75738081	5.90789
AC005077.9	HG1257_PATCH:75573390-75573720	0.84158
AC005082.12	7:23245631-23247664	0
AC005082.1	7:23210759-23234503	5.2448
AC005083.1	7:20257199-20261323	4.53604
AC005086.1	7:101804399-101804617	4.22452
AC005086.2	7:101830098-101830319	0.48264
AC005086.3	7:101805575-101806076	0.15082
AC005086.4	7:101831878-101832108	4.46591
AC005086.5	HG115_PATCH:101830098-101830319	3.98529
